id_prueba,tipo,origen,destino,asunto,resultado_esperado,spf,dkim,dmarc,ubicacion_final,clasificacion_real,observaciones
L01,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 01,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L02,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 02,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L03,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 03,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L04,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 04,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L05,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 05,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L06,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 06,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L07,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 07,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L08,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 08,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L09,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 09,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
L10,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 10,legitimo,pass,pass,pass,spam,legitimo,Entregado por SMTP con 250 OK; Gmail lo clasificó como spam
S01,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 01,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S02,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 02,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S03,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 03,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S04,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 04,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S05,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 05,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S06,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 06,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S07,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 07,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S08,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 08,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S09,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 09,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
S10,spoofing,emkei.cz,dmarc@phisdefense.com,Spoofing 10,spoofing,fail,fail,fail,rechazado,spoofing,Rechazado por política DMARC p=reject
L11,legitimo,dmarc@phisdefense.com,raxdent@gmail.com,Legitimo 11,legitimo,pass,pass,pass,inbox,legitimo,Aceptado por Gmail con 250 2.0.0 OK; ubicado en bandeja de entrada; queue id C2D1444A70; envío posterior a DNSSEC TLS MTA-STS TLS-RPT y automatización dashboard
