id_prueba,tipo,clasificacion_real,resultado_esperado,ubicacion_final,origen,destino,observaciones
OR01,open_relay_test,relay_denied,bloqueado,rechazado,[EMAIL_REDACTED],[EMAIL_REDACTED],Intento de relay no autenticado rechazado por Postfix con 454 4.7.1 Relay access denied; origen externo [IP_REDACTED]; helo pruebaexterna.local
AUTO-SOC-0001,open_relay_test,relay_denied,bloqueado,rechazado,[EMAIL_REDACTED],[EMAIL_REDACTED],Detectado automaticamente en syslog: Jun 28 15:05:03 mail postfix/smtpd[70818]: NOQUEUE: reject: RCPT from 22.red-88-18-47.staticip.rima-tde.net[[IP_REDACTED]]: 454 4.7.1 <[EMAIL_REDACTED]>: Relay access denied; from=<[EMAIL_REDACTED]> to=<[EMAIL_REDACTED]> proto=ESMTP helo=<pruebaexterna.local>
AUTO-SOC-0002,auth_fail,auth_fail,bloqueado,rechazado,no_aplica,no_aplica,Detectado automaticamente en syslog: Jun 28 15:10:53 mail postfix/submission/smtpd[71314]: warning: localhost[[IP_REDACTED]]: SASL PLAIN authentication failed: 
AUTO-SOC-0003,auth_fail,auth_fail,bloqueado,rechazado,no_aplica,no_aplica,Detectado automaticamente en syslog: Jun 28 15:14:37 mail postfix/submission/smtpd[71687]: warning: localhost[[IP_REDACTED]]: SASL PLAIN authentication failed: 
TLS01,tls_starttls_smtp,tls_ok,seguro,tls_ok,mail.phisdefense.com:587,mail.phisdefense.com,Validacion TLS automatica; verify_return_code=0 ok; Protocol  : TLSv1.3; Cipher    : TLS_AES_256_GCM_SHA384; log=[INTERNAL_PATH_REDACTED]
TLS02,tls_imaps,tls_ok,seguro,tls_ok,mail.phisdefense.com:993,mail.phisdefense.com,Validacion TLS automatica; verify_return_code=0 ok; Protocol  : TLSv1.3; Cipher    : TLS_AES_256_GCM_SHA384; log=[INTERNAL_PATH_REDACTED]
AUTO-SOC-0004,auth_fail,auth_fail,bloqueado,rechazado,no_aplica,no_aplica,Detectado automaticamente en syslog: Jun 28 15:26:11 mail postfix/submission/smtpd[72872]: warning: localhost[[IP_REDACTED]]: SASL PLAIN authentication failed: 
AUTO-SOC-0005,recipient_unknown,recipient_unknown,bloqueado,rechazado,[EMAIL_REDACTED],usuarioinexistente@phisdefense.com,Detectado automaticamente en syslog: Jun 28 15:34:18 mail postfix/smtpd[74172]: NOQUEUE: reject: RCPT from 22.red-88-18-47.staticip.rima-tde.net[[IP_REDACTED]]: 550 5.1.1 <usuarioinexistente@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<[EMAIL_REDACTED]> to=<usuarioinexistente@phisdefense.com> proto=ESMTP helo=<rcpt01.local>
AUTO-SOC-0006,auth_fail,auth_fail,bloqueado,rechazado,no_aplica,no_aplica,Detectado automaticamente en syslog: Jun 28 15:38:33 mail postfix/submission/smtpd[72872]: warning: localhost[[IP_REDACTED]]: SASL PLAIN authentication failed: 
SMTPAUTH01,smtp_auth_success,smtp_auth_success,permitido,enviado,smtp_tfm@phisdefense.com,[EMAIL_REDACTED],Envio autenticado correcto mediante puerto 587 STARTTLS SASL AUTH PLAIN; queue_id BF6B443E06; status sent hacia Gmail
DKIMR01,dkim_rotation,dkim_rotation_success,permitido,enviado,s2026._domainkey.phisdefense.com,[EMAIL_REDACTED],Rotacion DKIM correcta; selector antiguo default mantenido; selector nuevo s2026 publicado y validado con opendkim-testkey key secure key OK; correo firmado con s2026; queue_id 1C4B843E40; status sent hacia Gmail
